abnormal adipose tissue morphology|adipose tissue phenotype
abnormal habituation to a new environment|abnormal habituation
abnormal habituation to a new environment|abnormal response to new environment
abnormal habituation to a novel object|abnormal response to novel object
abnormal habituation to a novel object|abnormal habituation
abnormal habituation to a novel odor|abnormal response to novel odor
abnormal habituation to a novel odor|abnormal olfactory -discrimination memory
abnormal habituation to a novel odor|abnormal habituation
abnormal habituation to xenobiotic|abnormal habituation
abnormal habituation to xenobiotic|abnormal behavioral response to xenobiotic
abnormal sensitization to xenobiotic|abnormal behavioral response to xenobiotic
abnormal sensitization to xenobiotic|abnormal sensitization
cystolithiasis|urolithiasis
cystolithiasis|abnormal urinary bladder morphology
orotic acid urinary bladder stones|cystolithiasis
decreased skin pigmentation|hypopigmentation
decreased skin pigmentation|abnormal skin pigmentation
increased mitochondria number|abnormal mitochondrion morphology
decreased mitochondria number|abnormal mitochondrion morphology
increased mitochondria size|abnormal mitochondrion morphology
decreased mitochondria size|abnormal mitochondrion morphology
dilated mitochondria|increased mitochondria size
abnormal mitochondrial shape|abnormal mitochondrion morphology
abnormal mitochondrial inner membrane morphology|abnormal mitochondrion morphology
abnormal mitochondrial crista morphology|abnormal mitochondrial inner membrane morphology
disorganized mitochondrial cristae|abnormal mitochondrial crista morphology
abnormal mitochondrial matrix morphology|abnormal mitochondrion morphology
abnormal mitochondrial chromosome morphology|abnormal mitochondrion morphology
decreased mitochondrial dna content|abnormal mitochondrial chromosome morphology
abnormal aorta collagen fibril morphology|abnormal aorta tunica adventitia morphology
abnormal pulmonary collagen fibril morphology|abnormal lung morphology
abnormal bone collagen fibril morphology|abnormal bone structure
abnormal tendon collagen fibril morphology|abnormal tendon morphology
abnormal oviduct epithelium motile cilium morphology|abnormal oviduct morphology
abnormal oviduct epithelium motile cilium morphology|abnormal motile cilium morphology
absent oviduct epithelium motile cilium|abnormal oviduct epithelium motile cilium morphology
abnormal sinuatrial valve morphology|abnormal heart development
absent sinuatrial valve|abnormal sinuatrial valve morphology
thick heart valve cusps|abnormal heart valve morphology
immotile respiratory cilia|abnormal respiratory motile cilium physiology
abnormal corneal stroma collagen fibril morphology|abnormal corneal stroma morphology
abnormal circulating histidine level|abnormal circulating amino acid level
increased circulating histidine level|abnormal circulating histidine level
decreased circulating histidine level|abnormal circulating histidine level
increased urine histidine level|aminoaciduria
abnormal systemic artery morphology|abnormal artery morphology
coronary arterio-venous fistula|coronary fistula
coronary-cameral fistula|coronary fistula
interrupted aortic arch, type a|interrupted aortic arch
interrupted aortic arch, type b|interrupted aortic arch
ectopia cordis|abnormal heart position or orientation
persistent truncus arteriosus type i|persistent truncus arteriosis
persistent truncus arteriosus type ii|persistent truncus arteriosis
persistent truncus arteriosus type iii|persistent truncus arteriosis
persistent truncus arteriosus type iv|persistent truncus arteriosis
d-loop transposition of the great arteries|transposition of great arteries
double outlet right ventricle, ventricular defect committed to aorta|double outlet right ventricle
double outlet right ventricle with atrioventricular septal defect|double outlet right ventricle
double outlet right ventricle, taussig bing type|double outlet right ventricle
double outlet right ventricle, doubly committed ventricular septal defect|double outlet right ventricle
double outlet right ventricle, noncommitted ventricular septal defect|double outlet right ventricle
balanced complete atrioventricular canal|complete atrioventricular septal defect
unbalanced complete atrioventricular canal, left dominant|unbalanced complete common atrioventricular canal
unbalanced complete common atrioventricular canal|complete atrioventricular septal defect
multiple major aortopulmonary collateral arteries|aorta pulmonary collateral arteries
double aortic arch, balanced arches|double aortic arch
aortic arch obstruction|abnormal aortic arch morphology
abnormal olfactory sensory neuron physiology|abnormal olfactory system physiology
abnormal olfactory sensory neuron physiology|abnormal sensory neuron physiology
abnormal vomeronasal sensory neuron physiology|abnormal sensory neuron physiology
abnormal vomeronasal sensory neuron physiology|abnormal vomeronasal organ physiology
abnormal vomeronasal sensory neuron morphology|abnormal vomeronasal organ morphology
abnormal vomeronasal sensory neuron morphology|abnormal chemoreceptor morphology
tricuspid valve hypoplasia|abnormal tricuspid valve morphology
atrium cysts|abnormal heart atrium morphology
renal glomerulus cysts|kidney cysts
dual inferior vena cava|abnormal inferior vena cava morphology
coronary-cameral fistula to right ventricle|abnormal heart right ventricle morphology
coronary-cameral fistula to right ventricle|coronary-cameral fistula
abnormal limb paddle morphology|abnormal limb development
increased epidermal stem cell number|abnormal epidermal stem cell morphology
decreased epidermal stem cell number|abnormal epidermal stem cell morphology
absent epidermal stem cells|decreased epidermal stem cell number
absent neutrophils|decreased neutrophil cell number
absent basophils|decreased basophil cell number
absent bronchioalveolar stem cells|decreased bronchioalveolar stem cell number
increased chondrocyte number|abnormal chondrocyte morphology
absent chondrocytes|decreased chondrocyte number
absent eosinophils|decreased eosinophil cell number
absent hematopoietic stem cells|decreased hematopoietic stem cell number
absent mast cells|decreased mast cell number
vacuolated lens|abnormal lens development
abnormal brown adipose tissue physiology|abnormal adipose tissue physiology
abnormal brown adipose tissue thermogenesis|abnormal brown adipose tissue physiology
increased cumulus expansion|abnormal cumulus expansion
decreased cumulus expansion|abnormal cumulus expansion
abnormal fibroblast proliferation|abnormal cell proliferation
increased fibroblast proliferation|abnormal fibroblast proliferation
increased fibroblast proliferation|increased cell proliferation
decreased fibroblast proliferation|abnormal fibroblast proliferation
decreased fibroblast proliferation|decreased cell proliferation
absent fibroblast proliferation|decreased fibroblast proliferation
abnormal fibroblast migration|abnormal cell migration
impaired fibroblast cell migration|decreased fibroblast cell migration
decreased fibroblast cell migration|decreased cell migration
decreased fibroblast cell migration|abnormal fibroblast migration
increased fibroblast cell migration|increased cell migration
increased fibroblast cell migration|abnormal fibroblast migration
enhanced osteoblast differentiation|abnormal osteoblast differentiation
impaired osteoblast differentiation|abnormal osteoblast differentiation
arrested osteoblast differentiation|impaired osteoblast differentiation
abnormal circulating interleukin-8 level|abnormal circulating interleukin level
increased circulating interleukin-8 level|abnormal circulating interleukin-8 level
decreased circulating interleukin-8 level|abnormal circulating interleukin-8 level
abnormal interleukin-8 secretion|abnormal interleukin secretion
increased interleukin-8 secretion|abnormal interleukin-8 secretion
decreased interleukin-8 secretion|abnormal interleukin-8 secretion
abnormal natural killer cell mediated cytotoxicity|abnormal nk cell physiology
abnormal ossification involved in bone remodeling|abnormal bone remodeling
abnormal ossification involved in bone remodeling|abnormal bone ossification
abnormal bone mineralization involved in bone maturation|abnormal ossification involved in bone maturation
abnormal bone mineralization involved in bone maturation|abnormal bone mineralization
abnormal ossification involved in bone maturation|abnormal bone ossification
abnormal ossification involved in bone maturation|abnormal skeleton development
ectopic neuron|abnormal neuron morphology
ectopic cortical neuron|ectopic neuron
neuronal leptomeningeal ectopia|ectopic neuron
ectopic cajal-retzius cell|abnormal cajal-retzius cell morphology
ectopic cajal-retzius cell|ectopic neuron
ectopic ovary|abnormal ovary morphology
abnormal pineal gland physiology|abnormal neuroendocrine gland physiology
abnormal pineal gland melatonin secretion|abnormal pineal gland physiology
increased myelin sheath thickness|abnormal myelin sheath morphology
decreased myelin sheath thickness|abnormal myelin sheath morphology
decreased somite size|abnormal somite size
fused somites|abnormal somite development
abnormal urine ammonia level|abnormal urine homeostasis
increased urine ammonia level|abnormal urine ammonia level
decreased urine ammonia level|abnormal urine ammonia level
hypodipsia|abnormal drinking behavior
anasarca|generalized edema
abnormal boettcher cell morphology|abnormal cochlea morphology
abnormal urine nitrite level|abnormal urine homeostasis
increased urine nitrite level|abnormal urine nitrite level
decreased urine nitrite level|abnormal urine nitrite level
abnormal golgi apparatus morphology|abnormal cell morphology
abnormal kidney epithelial cell primary cilium physiology|abnormal kidney physiology
